Date,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Amount,Fee Currency,Notes,Tag,Transaction Hash
01/23/2026 01:44:25,10000,HMT,,,,,"Received HMT | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0x2ff5a06b341d0182ac52fa18e3ce93ba2640bf10280d9c9d38c3626c83d52626",receive,0x2ff5a06b341d0182ac52fa18e3ce93ba2640bf10280d9c9d38c3626c83d52626
01/15/2026 18:35:01,,,0,HMT,0.00000843075,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0xfd9ef9bbd81a7ef58e814e5f7b9ece37490d7cffb291014f297038684a6793a2",Send,0xfd9ef9bbd81a7ef58e814e5f7b9ece37490d7cffb291014f297038684a6793a2
01/15/2026 18:35:01,,,0,HMT,0.00000843075,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0xff7018a94a21e11867cae9d41414fb92f2d48c909b901219cd8f15d53f6dc722",Send,0xff7018a94a21e11867cae9d41414fb92f2d48c909b901219cd8f15d53f6dc722
01/15/2026 18:35:01,,,0,HMT,0.00001141575,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0xf13a0f75e327404dba4067c8a49dadfe675d9f5e287fbeb57e5763a0316a6182",Send,0xf13a0f75e327404dba4067c8a49dadfe675d9f5e287fbeb57e5763a0316a6182
01/15/2026 18:35:01,,,0,HMT,0.00001141575,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0x22d7d85caa0808c565aad682a5b09a024224a5f44e65bad978c8f3bc5dc759ba",Send,0x22d7d85caa0808c565aad682a5b09a024224a5f44e65bad978c8f3bc5dc759ba
01/15/2026 18:35:01,,,0,HMT,0.00000843075,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0x63ad230154d16425ef24dac19e7a2499e95a872f7a50d604463e575304242a4e",Send,0x63ad230154d16425ef24dac19e7a2499e95a872f7a50d604463e575304242a4e
01/15/2026 18:34:50,,,0,HMT,0.0000050649,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0x2ad8580f2209ffec6f300eeb24a57382f263c1cdacb8a17ae1dcabc28e03d935",Send,0x2ad8580f2209ffec6f300eeb24a57382f263c1cdacb8a17ae1dcabc28e03d935
01/02/2026 20:05:49,,,0,HMT,0.00000843075,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0xda8481ae4c8189a194f2c2b1978eb74612339bde06bbea69c492f076440bc342",Send,0xda8481ae4c8189a194f2c2b1978eb74612339bde06bbea69c492f076440bc342
12/20/2025 00:59:48,,,0,HMT,0.00001141035,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0x983ce47a576201514e5621bc6d368ef34961c6ee94e0971588c333e3af4692ff",Send,0x983ce47a576201514e5621bc6d368ef34961c6ee94e0971588c333e3af4692ff
12/20/2025 00:59:48,,,0,HMT,0.00001141395,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0x136c50cdd9cd0c21167e30b3549bd8208e089a2ce4eb19aaeb61bbc0c1a3ee5e",Send,0x136c50cdd9cd0c21167e30b3549bd8208e089a2ce4eb19aaeb61bbc0c1a3ee5e
12/20/2025 00:59:48,,,0,HMT,0.00001141395,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0xbf6516b4642816eb4aef4ec02edc2d6bdd0b4f8773e0365f74de70d00cc9d5bf",Send,0xbf6516b4642816eb4aef4ec02edc2d6bdd0b4f8773e0365f74de70d00cc9d5bf
12/20/2025 00:59:48,,,0,HMT,0.00001141395,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0xcf5f080ed3140a20b3049bbca6a18fdff394cc26c976e7b933f468c1fc018bac",Send,0xcf5f080ed3140a20b3049bbca6a18fdff394cc26c976e7b933f468c1fc018bac
12/20/2025 00:58:38,,,0,HMT,0.00001141575,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0x5fae82deeaa8d7c139191c47cf615c4af0ad14ad83d34ee46a7c8901f6d013f8",Send,0x5fae82deeaa8d7c139191c47cf615c4af0ad14ad83d34ee46a7c8901f6d013f8
12/20/2025 00:58:38,,,0,HMT,0.00001141395,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0xa8957c3324c023f0828b76aa7fbe3e26e29f551a6b3c68a6e277314bb2e1bfa5",Send,0xa8957c3324c023f0828b76aa7fbe3e26e29f551a6b3c68a6e277314bb2e1bfa5
12/20/2025 00:58:38,,,0,HMT,0.00001141395,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0xf0c4bde4efff66e07a4c73c3762e94dfa78e9851089dcc995fbe384ebf316256",Send,0xf0c4bde4efff66e07a4c73c3762e94dfa78e9851089dcc995fbe384ebf316256
12/20/2025 00:58:38,,,0,HMT,0.00001141575,HMT,"Contract Interaction | Link: https://humanity-mainnet.explorer.alchemy.com/tx/0x5b34cbf6096823bb885beb3380d65a0ab8fb3ced1bb82b7c75108509ee40c478",Send,0x5b34cbf6096823bb885beb3380d65a0ab8fb3ced1bb82b7c75108509ee40c478
